tipologia,autore_saggio,precisazione_autore,titolo_saggio,autore_curatore_volume,precisazione_curatore,titolo_volume,luogo,editore,anno,volumi,rivista,annata,fascicolo,pagine
articolo in volume miscellaneo,"Preti, Cesare - Gullino, Giuseppe",,Marsili (Marsigli) Luigi Ferdinando,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,771-781
articolo in volume miscellaneo,"Gullino, Giuseppe - Preti, Cesare",,Marsili (Marsigli) Luigi Ferdinando,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,771-781
poligrafia,,,,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,"XV, 781"
articolo in volume miscellaneo,"Fratello, Bernardo",,Una collezione settecentesca del Museo di anatomia dell'Università di Modena e Reggio Emilia. I modelli ostetrici realizzati in terracotta da Giovan Battista Manfredini,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,215-220
poligrafia,,,,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,356
articolo in volume miscellaneo,"Bonci, Maria Cristina",,Dal paesaggio al museo. Un viaggio nella geologia ligure attraverso le collezioni storiche dell'Università di Genova,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,53-58
articolo in volume miscellaneo,"Gallo, Lorenzo Mariano",,Le collezioni geologiche e litologiche del Museo di geologia e paleontologia dell'Università di Torino: dalle origini al Museo regionale di scienze naturali di Torino,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,59-64
articolo in volume miscellaneo,"Forneris, Giuliana - Guglielmone, Laura - Pandolfo, Guglielmo",,L'erbario dell'Università di Torino: risultati preliminari del censimento delle collezioni fanerogamiche,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,95-101
articolo in volume miscellaneo,"Forneris, Giuliana",,L'Iconographia Taurinensis (1752-1868). Restauro e valorizzazione scientifica della collezione,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,119-128
articolo in volume miscellaneo,"Giovi, Emanuela - Millozza, Anna",,L'erbario di Vincenzo Cesati a Roma,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,152-155
articolo in volume miscellaneo,"Peccenini, Simonetta",,Le collezioni botaniche dell'Università di Genova. Storia del Museo e dell'Orto botanico,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,156-160
articolo in volume miscellaneo,"Caramiello, Rosanna - Fossa, Valeria",,Collezioni e strutture dell'Orto botanico dell'Università di Torino,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,161-166
articolo in volume miscellaneo,"Latella, Leonardo - Ruffo, Sandro - Salmaso, Roberta",,Le collezioni zoologiche Edoardo De Betta nel panorama del naturalismo veronese della seconda metà dell'Ottocento,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,173-176
articolo in volume miscellaneo,"Barili, Angelo - Lapiana, Francesco - Gentili, Sergio",,La raccolta ornitologica di Orazio Antinori a Perugia. Un esercizio di memoria,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XIV Congresso ANMS. Il patrimonio della scienza, le collezioni di interesse storico (Torino, 10-12 novembre 2004)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,186-191
articolo in volume miscellaneo,"Garuccio, Augusto - Giuliani, Giuseppe - Leone, Matteo",,Le scuole di fisica teorica in Italia nel secondo dopoguerra,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,"Atti del XXI Congresso nazionale di storia della fisica e dell'astronomia. Dipartimento di fisica, Università della Calabria (Arcavata di Rende, CS, 6-8 giugno 2001)",Torino,"Associazione nazionale musei scientifici, orti botanici, giardini zoologici e acquari",2008,,,,,175-187
monografia,,,,"Frasca, Elena",,"I bisturi e la toga. Università e potere urbano nella Sicilia borbonica. Il ruolo del medico, secoli XVIII-XIX",Acireale,Bonanno,2008,,,,,416
articolo in rivista,"Tallone, Claudio",,Le 'piazze o alunnati elvetici' nei seminari dell'Archidiocesi di Milano,,,,,,2008,,«Nuova rivista storica»,92,1.0,139-154
poligrafia,,,,"Neri, Silvia - Penuti, Carla",a cura di,Annales: 1640-1674,Bologna,Clueb,2008,,,,,431
poligrafia,,,,"Capra, Carlo-Scotti, Aurora-Brambilla, Elena",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,688
articolo in volume miscellaneo,"Brizzi, Gian Paolo",,Prefazione / Vorwort,"Neri, Silvia - Penuti, Carla",a cura di,Annales: 1640-1674,Bologna,Clueb,2008,,,,,6-10
articolo in volume miscellaneo,"Penuti, Carla",,'La nazione degli studenti Alemanni di Bologna’ a metà del Seicento / ‘Die Nation der deutsche Studenten in Bologna’ in der Mitte des 17. Jahrhunderts,"Neri, Silvia - Penuti, Carla",a cura di,Annales: 1640-1674,Bologna,Clueb,2008,,,,,29-46
articolo in volume miscellaneo,"Neri, Silvia",,"'Magna per id tempus omnibus in rebus, …’ Il quinti ‘liber annalium della Nazione tedesca di Bologna / ‘Magna per id tempus omnibus in rebus, …’ Das fünfte ‘liber annalium’ der Natio Germanica in Bologna","Neri, Silvia - Penuti, Carla",a cura di,Annales: 1640-1674,Bologna,Clueb,2008,,,,,47-82
monografia,,,,"Esposito, Anna-Frova, Carla",,Collegi studenteschi a Roma nel Quattrocento. Gli Statuti della «Sapienza Nardina»,Roma,Viella,2008,,,,,224
articolo in rivista,"Lacaita, Carlo G.",,Università e impresa,,,,,,2008,,«Annali di storia delle università italiane»,12,,9-21
articolo in rivista,"Ricci, Giuliana",,Una sede sofferta.Dalla preesistenza a un nuovo insediamento urbano,,,,,,2008,,«Annali di storia delle università italiane»,12,,27-44
articolo in rivista,"Dezzi Bardeschi, Marco",,Il Politecnico alla Bovisa e la rinascita del quartiere operaio (1970-2008),,,,,,2008,,«Annali di storia delle università italiane»,12,,59-74
articolo in rivista,"Irace, Fulvio",,Un campus virtuale,,,,,,2008,,«Annali di storia delle università italiane»,12,,45-58
articolo in rivista,"Sacchi, Evandro",,La genesi della questione ambientale e l'incipit sul Politecnico di Milano,,,,,,2008,,«Annali di storia delle università italiane»,12,,75-100
articolo in rivista,"Citrini, Claudio",,Matematica e vita civile nel Politecnico di cento anni fa: la vicenda di Max Abraham,,,,,,2008,,«Annali di storia delle università italiane»,12,,101-118
articolo in rivista,"Selvafolta, Ornella",,Paesaggi della tecnica e paesaggi dell'arte: i viaggi d'istruzione al Politecnico di Milano tra Otto e Novecento,,,,,,2008,,«Annali di storia delle università italiane»,12,,119-146
articolo in rivista,"Buratti Mazzotta, Adele",,Cultura del progetto e didattica della rappresentazione al Politecnico di Milano tra Otto e Novecento,,,,,,2008,,«Annali di storia delle università italiane»,12,,147-170
articolo in rivista,"Bellini, Amedeo",,Ambrogio Annoni: arte e scienza dell'architettura,,,,,,2008,,«Annali di storia delle università italiane»,12,,171-192
articolo in rivista,"Rostagno, Chiara",,L'insegnamento dell'Urbanistica al Politecnico di Milano attraverso le carte dell'archivio Luigi Dodi. Dall'istituzione agli anni del confronto (1929-1966),,,,,,2008,,«Annali di storia delle università italiane»,12,,193-206
articolo in rivista,"Cardani, Cesare-Curami, Andrea",,Gli inizi dell'insegnamento dell'aeronautica nella realtà milanese,,,,,,2008,,«Annali di storia delle università italiane»,12,,207-224
articolo in rivista,"Grendler, Paul F.",,"The Life and the Death of the University of Mantua, 1624-1630",,,,,,2008,,«Journal of the Historical Society,4,,601-626
articolo in rivista,"Silvestri, Andrea",,Contributi del Regio Istituto Tecnico Superiore di Milano in Trentino tra i due secoli (con un'appendice di lettere inedite di Giuseppe Colombo ad Alessandro Panzarasa),,,,,,2008,,«Annali di storia delle università italiane»,12,,225-248
articolo in rivista,"Sacchi Landriani, Giannantonio",,Giovanni Sacchi ingegnere eclettico,,,,,,2008,,«Annali di storia delle università italiane»,12,,249-260
articolo in rivista,"Castellano, Aldo",,Cultura architettonica milanese e rinnovamento della Facoltà di Architettura tra anni Cinquanta e Sessanta,,,,,,2008,,«Annali di storia delle università italiane»,12,,261-290
articolo in rivista,"Boriani, Maurizio",,Alcune conferme ed alcune novità nell'archivio privato di Liliana Grassi al Politecnico di Milano,,,,,,2008,,«Annali di storia delle università italiane»,12,,291-312
articolo in rivista,"Gobbo, Raffaella",,"Un Nobel al Politecnico, Giulio Natta",,,,,,2008,,«Annali di storia delle università italiane»,12,,313-326
articolo in rivista,"De Coster, Anuschka",,"Foreign and Citizen Teachears at Bologna University in the 15th and 16th centuries. Statutes, statistics and student teachers",,,,,,2008,,«Annali di storia delle università italiane»,12,,329-355
articolo in rivista,"Materni, Marta",,Riformanze consiliari e bollettari come fonti per lo studio delle popolazioni studentesche nella prima età moderna,,,,,,2008,,«Annali di storia delle università italiane»,12,,357-385
articolo in rivista,"Pasciuta, Beatrice",,Itinerari di una cultura giuridica: la Facoltà di Giurisprudenza di Palermo dalla fondazione al fascismo (1805-1940),,,,,,2008,,«Annali di storia delle università italiane»,12,,387-421
articolo in rivista,"Legois, Jean-Philippe",,Pour de nouvelles approches du mai étudiant et universitaire en France et au-delà!,,,,,,2008,,«Annali di storia delle università italiane»,12,,423-433
articolo in rivista,"Del Bagno, Ileana",,Iustitia custos sit pacis. Formazione universitaria e professioni giuridiche a Napoli in età moderna,,,,,,2008,,«Annali di storia delle università italiane»,12,,435-466
articolo in rivista,"Nardi, Paolo",,L'Archivio di Stato di Siena e il mondo universitario tra Ottocento e Novecento,,,,,,2008,,«Annali di storia delle università italiane»,12,,469-480
articolo in rivista,"Becherucci, Andrea",,Alcune note sui carteggi salveminiani,,,,,,2008,,«Annali di storia delle università italiane»,12,,481-488
articolo in rivista,"Bònoli, Fabrizio",,Il Museo della Specola del Dipartimento di Astronomia del Sistema Museale d'Atenao dell'Alma Mater Studiorum,,,,,,2008,,«Annali di storia delle università italiane»,12,,489-498
articolo in rivista,"Bermejo Castrillo, Manuel Ángel",,"En los orígenes de la ciencia procesal española. Francisco Beceña: trayectoria académica, inquietudines docentes y aportación doctrinal",,,,,,2008,,«Cuadernos del Instituto Antonio de Nebrija de estudios sobre la universidad»,2,11.0,143-211
articolo in rivista,"Martín Martín, Sebastián",,"Actualidad del derecho político. Antología, reediciones e iniciativas de recuperación de una disciplina jurídica histórica",,,,,,2008,,«Cuadernos del Instituto Antonio de Nebrija de estudios sobre la universidad»,2,11.0,213-286
articolo in rivista,"Ramis Barceló, Rafael",,El claustro de la Facultad de Leyes y Cánones de la Universidad Luliana y Literaria de Mallorca,,,,,,2008,,«Cuadernos del Instituto Antonio de Nebrija de estudios sobre la universidad»,2,11.0,287-305
articolo in rivista,"Vera de Flachs, MAria Cristina-Sillau Pérez, Antonio",,Nacionalistas versus reformistas. Un estudio sobre las luchas políticas e ideológicas en la Universidad de Córdoba (Argentina) entre 1930 y 1943,,,,,,2008,,«Cuadernos del Instituto Antonio de Nebrija de estudios sobre la universidad»,2,11.0,307-331
