tipologia,autore_saggio,precisazione_autore,titolo_saggio,autore_curatore_volume,precisazione_curatore,titolo_volume,luogo,editore,anno,volumi,rivista,annata,fascicolo,pagine
articolo in volume miscellaneo,"Dell'Era, Tommaso",,L'Università di Roma e le leggi razziali: il processo di epurazione di Edoardo Zavattari,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,163-181
articolo in volume miscellaneo,"Pelleriti, Enza",,Gli 'Am professori' nell'Università di Messina e nella Sicilia governata dagli alleati,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,183-198
articolo in volume miscellaneo,"Rodríguez-López, Carolina",,Poder académico: los dirigentes universitarios ena la España del primer franquismo (1939-1951). Una aproximación,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,199-210
articolo in volume miscellaneo,"Guerrini, Maria Teresa",,I laureati in diritto presso lo Studio di Bologna e il mondo delle professioni in età moderna,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,213-232
articolo in volume miscellaneo,"Blankesteijn, Annemarieke",,"The peregrinatio Academica and what is left of it. A case study: Dutch students at German universities, 1750-1850","Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,233-244
articolo in volume miscellaneo,"Castro, Sonia",,Gli studenti svizzeri nelle università pubbliche lombarde (1860-1945). Una vicenda di emigrazione intellettuale,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,245-256
articolo in volume miscellaneo,"Salustri, Simona",,L'associazionismo studentesco fascista e i suoi rapporti con l'università: il caso di Bologna,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,257-272
articolo in volume miscellaneo,"Lucrezio, Claudia",,I 'Numeri Unici' pavesi tra goliardia e Guf,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,273-284
articolo in volume miscellaneo,"Marconi, Laura",,"Alma Domus Sapientiae Novae, ovvero la Casa di San Girolamo per studenti forestieri a Perugia. i rettori della Sapienza (1443-1795)","Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,287-298
articolo in volume miscellaneo,"Panzanelli Fratoni, Maria Alessandra",,Il governo del Collegio Pio della Sapienza di Perugia nell'ambito istituzionale cittadino,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,299-313
articolo in volume miscellaneo,"Silanos, Pietro",,Le 'scritture' degli Studia nel XV secolo: alcune riflessioni sul caso parmense,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,315-327
articolo in volume miscellaneo,"Negruzzo, Simona",,Il Collegio Capranica a Roma tra Umanesimo e Rinascimento,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,329-343
articolo in volume miscellaneo,"Trimarchi, Carmen",,Tra Accademie e Università. Qualche nota sull'insegnamento del diritto nella Sicilia del Settecento,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,345-360
articolo in volume miscellaneo,"Manfredi, Marco",,La Facoltà di Teologia e la Diocesi di Pisa dalla Restaurazione all'Unità,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,361-375
articolo in volume miscellaneo,"Lupi, Regina",,Progetti di riforma per l'Ateneo di Perugia negli anni della Consulta (1809-1810),"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,377-385
articolo in volume miscellaneo,"Breccia, Alessandro",,Paternalismo illuminato e rinnovamento del sapere nella Toscana granducale. La riforma Giorgioni del 1840,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,387-396
articolo in volume miscellaneo,"Gheda, Paolo",,L'Università per Stranieri di Perugia dal recupero dell'identità alla precisazione accademica: il cammino verso la statizzazione (1970-1980),"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,397-409
articolo in volume miscellaneo,"Merlotti, Andrea",,Marenco (Marenco di Castellammonte) Vincenzo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,30-33
articolo in volume miscellaneo,"Casella, Elena",,Mareotti Trebazio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,42-44
articolo in volume miscellaneo,"Volpicelli, Ignazio",,Maresca Mariano,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,52-55
articolo in volume miscellaneo,"Tarozzi, Fiorenza",,Marescotti Angelo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,68-70
articolo in volume miscellaneo,"Giura Longo, Tommaso",,Marescotti Francesco (Franco),,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,72-75
articolo in volume miscellaneo,"Antonelli, Armando",,Marescotti (Marscotti) De' Calvi Agamennone,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,84-86
articolo in volume miscellaneo,"Tamba, Giorgio",,Marescotti De' Calvi Ludovico,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,91-93
articolo in volume miscellaneo,"Arieti, Stefano",,Marfori Savini (Marfori) Pio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,96-99
